Coin ID,Valor del activo (en US$),Capitalización total de mercado (market cap),Volumen (volumen 24h),Porcentaje del volumen diario (volumen 24h / market cap),Suministro circulante (circulating supply),Suministro total (total supply),Suministro máximo (max supply),Posición en ranking,Categoría
9175,0.3236066984848155,101309323.97498244,7738114.23236414,-3.50212495,313063124.0,550166372.0,550322467.0,427.0,Memes
26585,2.7268585286919225e-05,23217837.914891083,3346280.16214221,-10.4081555275,15683307747.5,48707481931.09895,23499511997.5,816.0,Memes
14822,0.0165588960790516,88362365.61807694,1529820.24673431,-1.5232082,5336247367.954846,16800000000.0,16800000000.0,463.0,Memes
10729,8.01315578373648e-07,20639946.715684667,816636.70687613,-0.29795561,15683307747.5,48707481931.09895,23499511997.5,850.0,Memes
7158,0.4399875344653978,23473420.07575142,5053238.0394397,-0.52880065,53350193.441895,53350193.441895,63000000.0,813.0,Memes
10744,0.2042538431784655,24510461.181415863,1161763.94345509,-6.52424902,120000000.0,120000000.0,120000000.0,799.0,Memes
10746,0.0793668642599565,34411869.370559685,2308374.25603637,-1.09701873,433579803.0,631378228.0,700000000.0,710.0,Memes
25093,,,0.0,0.0,0.0,76400000.0,76400000.0,,Gaming Guild
14345,0.6965842781902396,32867221.44952657,870706.86915416,5.7075537,47183409.78771046,100000000.0,100000000.0,723.0,Gaming Guild
8230,0.018581236180448,0.0,70619.93541872,-0.35655562,0.0,700000000.0,700000000.0,1876.0,Gaming Guild
27178,0.4314594116580242,343014681.7581861,7180949.8954556,1.226422,816982824.0,1000000000.0,1000000000.0,225.0,Gaming Guild
29750,0.0724925251727115,0.0,3217.94296067,3.22614684,0.0,100000000.0,100000000.0,1876.0,Gaming Guild
28217,1.0711950489553142e-08,0.0,31613.28004738,10.6260658125,0.0,48707481931.09895,23499511997.5,1876.0,Gaming Guild
5690,1.1072438720426239,343014681.7581861,29341435.916718155,-10.01406801,388643223.5364601,532070163.8164601,536870912.0,27.0,Gaming Guild
28734,0.2696381345152998,0.0,816363.55799488,10.05266996,0.0,100000000.0,100000000.0,1876.0,Gaming Guild
23622,1.9010825e-17,0.0,47846.78309101,-10.4081555275,0.0,1000000000.0,1000000000.0,1876.0,Gaming Guild
24141,,,0.0,0.0,0.0,48707481931.09895,23499511997.5,,Gaming Guild
28245,0.4105265000194495,25180241.83685647,1002765.3397609,5.17569992,61336459.0,500000000.0,500000000.0,789.0,Gaming Guild
14429,,,0.0,0.0,0.0,50000000.0,100000000.0,,Gaming Guild
